periodo,afp,fecha_ca,monto_hojas_miles_soles,registros_hojas,identificadores_unicos,registros_isin,registros_fondo_sin_isin,total_fondo_miles_soles,total_exterior_miles_soles,total_exterior_pct_fp1356,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,cobertura_exterior_pct,exterior_sobre_fondo_pct
2023-11,Profuturo,2023-11-30,1372586.5161149823,60,60,40,20,3567023.7081703,1577976.4736253,44.23790259680695,0.869839657977633,13.016034202236703,1.1496371668371483,ampliado,False,True,86.98396579776329,44.23790259680446
2023-12,Habitat,2023-12-29,1796665.5167854433,113,113,110,3,3522039.0215721,1894822.7144294998,53.79902672355189,0.9481971601371635,5.180283986283651,1.054632983561502,ampliado,False,True,94.81971601371635,53.799026723551904
2023-12,Integra,2023-12-29,1376642.6622915668,62,62,46,16,4099269.9492323003,1584666.9749809,38.657297387249,0.8687267949836334,13.127320501636664,1.1511098837682794,ampliado,False,True,86.87267949836334,38.65729738724995
2023-12,Prima,2023-12-29,1150720.5407655546,31,31,24,7,3619218.2589976,1310553.6519609,36.2109593336301,0.8780415353799541,12.195846462004589,1.1388982863632653,ampliado,False,True,87.8041535379954,36.2109593336291
2023-12,Profuturo,2023-12-29,1364901.0792214582,63,63,43,20,3713770.4525558,1575541.8249448,42.42431903297953,0.866305836894732,13.369416310526805,1.1543267486047353,ampliado,False,True,86.6305836894732,42.424319032979525
2024-01,Habitat,2024-01-31,1557677.4266286863,111,111,108,3,3579411.9513189,1650581.3806347,46.11319968428349,0.9437144056657847,5.628559433421532,1.0596426143293916,ampliado,False,True,94.37144056657847,46.1131996842809
2024-01,Integra,2024-01-31,1373017.402847129,63,63,47,16,4177311.8628293,1583874.2631537,37.91611244655737,0.8668727277083678,13.312727229163224,1.1535718774352983,ampliado,False,True,86.68727277083677,37.91611244655647
2024-01,Prima,2024-01-31,1199599.9271295315,27,27,20,7,3676356.7569201,1356765.3592949,36.90516043474261,0.8841616709266177,11.583832907338232,1.1310148730514202,ampliado,False,True,88.41616709266177,36.90516043474361
2024-01,Profuturo,2024-01-31,1355384.0708200124,64,64,44,20,3754254.3228623997,1560983.9784064,41.57906854899059,0.8682882653310232,13.17117346689768,1.151691252695628,ampliado,False,True,86.82882653310232,41.57906854899059
2024-02,Habitat,2024-02-29,1734887.4414996877,109,109,106,3,3654920.9725448,1872843.7715608,51.24170359987027,0.9263385808490894,7.366141915091062,1.0795188937109712,ampliado,False,True,92.63385808490894,51.24170359986747
2024-02,Integra,2024-02-29,1350482.8742820958,59,59,43,16,4253474.9758725,1528684.5521294998,35.939662530067906,0.883428090118943,11.657190988105704,1.131954044913109,ampliado,False,True,88.3428090118943,35.93966253006876
2024-02,Prima,2024-02-29,1112755.9333513144,26,26,19,7,3746432.4890811997,1285800.2805774,34.32065796794253,0.8654189535964493,13.458104640355073,1.15550970526387,ampliado,False,True,86.54189535964493,34.32065796794161
2024-02,Profuturo,2024-02-29,1410142.7560226896,65,65,45,20,3848096.3684648,1612110.3920158,41.893711530384415,0.8747184826837026,12.528151731629745,1.1432249572821696,ampliado,False,True,87.47184826837025,41.893711530383335
2024-03,Habitat,2024-03-29,1752221.2665423783,113,113,110,3,3640703.3071765,1808476.4591239,49.67382141684294,0.9688935997492752,3.1106400250724753,1.0321050735176436,operativo,True,True,96.88935997492753,49.67382141684158
2024-03,Integra,2024-03-29,1341516.9998360844,57,57,41,16,4212036.1851605,1523483.4883646,36.169762589696745,0.8805589362022889,11.944106379771114,1.1356423277161225,ampliado,False,True,88.05589362022889,36.169762589695026
