factor,coef_estandarizado,coef_original,coef_abs_estandarizado,retorno_factor,contribucion_retorno,contribucion_puntos_pct,afp,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,intercepto_pct,ranking_contribucion,columna_modelo,ticker,nombre,grupo,moneda
ret_EWJ,0.0003903901520589562,0.02391020166236391,0.0003903901520589562,0.020747062738385,0.0004960664539765013,0.04960664539765013,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,18,ret_EWJ,EWJ,Japón,region,USD
ret_TLT,-0.0007707195888226228,-0.05811763576092367,0.0007707195888226228,0.0080756954575571,-0.0004693403271184494,-0.04693403271184494,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,19,ret_TLT,TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD
ret_XLV,-0.0008644911499729556,-0.056195308429426036,0.0008644911499729556,0.0068903128850204,-0.0003872032577489697,-0.03872032577489697,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,20,ret_XLV,XLV,Salud,sector,USD
ret_XLY,-0.0002574431672024157,-0.016215550701905068,0.0002574431672024157,0.021483980916648,-0.00034837458183266656,-0.034837458183266654,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,21,ret_XLY,XLY,Consumo discrecional,sector,USD
ret_USO,-0.000470781033323907,-0.016914215610003502,0.000470781033323907,0.0139935380927118,-0.00023668972044692455,-0.023668972044692455,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,22,ret_USO,USO,Petróleo,materia_prima,USD
ret_XLP,-0.000705531191858589,-0.050144155659752374,0.000705531191858589,0.0043725323548389,-0.00021925694302834538,-0.021925694302834538,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,23,ret_XLP,XLP,Consumo básico,sector,USD
ret_DX_Y_NYB,-0.000867640675400111,-0.24394828478099853,0.000867640675400111,0.0007912355906611,-0.00019302056519945562,-0.01930205651994556,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,24,ret_DX_Y_NYB,DX-Y.NYB,Índice dólar DXY,moneda,INDICE
ret_SPY,7.412608619010142e-05,0.00527634350968542,7.412608619010142e-05,0.0280336906333544,0.00014791538162582844,0.014791538162582845,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,25,ret_SPY,SPY,Estados Unidos - S&P 500,mercado,USD
ret_CPER,8.094934300462373e-05,0.0033446608219791416,8.094934300462373e-05,0.0337902943583718,0.00011301707370358899,0.0113017073703589,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,26,ret_CPER,CPER,Cobre,materia_prima,USD
ret_MCHI,-3.1247986467039755e-05,-0.0018670493601398441,3.1247986467039755e-05,0.024910680154198,-4.650946944254369e-05,-0.004650946944254369,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,27,ret_MCHI,MCHI,China,region,USD
